Schm Desc,Rate,Sanct Lim,Balance,Status
4,9,195000,49356.51,1
4,9,280000,210448.12,1
4,11.5,150000,0,4
4,9,1000000,424228.09,1
4,9,1000000,396358.13,1
4,9,250000,192342.41,1
4,9,600000,351760.2,1
4,9,200000,56027.12,1
4,9,700000,-3943.8,1
4,9,1000000,532035.43,1
4,9,1000000,98588.36,1
4,9,350000,321731.83,1
4,9,300000,217140.43,1
4,15,700000,631000.72,3
4,9,300000,70995.73,1
4,9,1000000,913852.97,1
4,9,784000,526858.1,1
4,9,1000000,375217.38,1
4,9,800000,163705.07,1
4,9,150000,50083.89,1
4,12.5,231000,215976.13,3
4,9,355000,136952.59,1
4,9,665000,150071.8,1
4,9,120000,39112.28,1
4,9,600000,388322.1,1
4,11.5,700000,612578.71,3
4,9,750000,317443.07,1
4,9,120000,80803.27,1
4,9,450000,137063.17,1
4,9,840000,408415.24,1
4,9,450000,223464.33,1
4,9,140000,58549.5,1
4,9,800000,274111.54,1
